subject_ID,age_in_years,gender,gender_coded,age_group,age_group_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingL,RT_fishingR,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,EV_flashL,EV_flashR,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,items_count_flashL,items_count_flashR,EV_at_fishingL,EV_at_fishingR,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,trial_number,prop_correct_fishing,fishing_rewardL,fishing_rewardR,fishing_rewardL_rational_fishing,fishing_rewardR_rational_fishing,avg_fishing_reward,avg_fishing_reward_rational_fishing,reward_EV_info,reward_EV_no_info,reward_uncertainty_info,reward_uncertainty_no_info,reward_agency_info,reward_agency_no_info
6730160,42,Male,1,Adults,4,0,trial_14,,,0,,10106,,8741,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,100,-5,5,-10,0,9.574271078,5,2,3,10,-4.574271078,1,100,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":0,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}",-10,5,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,14,0.903225806,10,-20,10,10,4,3.5,-10,5,2,0,10,-20
6730160,42,Male,1,Adults,4,0,trial_15,,0,,,9855,4353,,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",100,0,5,6.666666667,0,3.333333333,9.574271078,7.453559925,2,3,1.666666667,-2.120711153,1,-100,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",0,6.666666667,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,15,0.903225806,10,-10,0,-10,4,3.5,0,6.666666667,2,0,10,-10
6730160,42,Male,1,Adults,4,1,trial_16,,0,,,10324,7138,,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",100,0,8.333333333,-3.333333333,13.33333333,0,6.871842709,7.453559925,2,2,-11.66666667,0.581717216,0,-100,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",8.333333333,0,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,16,0.903225806,20,0,10,0,4,3.5,0,8.333333333,2,0,0,20
6730160,42,Male,1,Adults,4,0,trial_17,,1,,,10258,3650,,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",50,0,8.333333333,6.666666667,0,13.33333333,8.975274679,9.428090416,3,1,-1.666666667,0.452815737,-2,-50,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,6.666666667,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,17,0.903225806,0,0,0,20,4,3.5,0,6.666666667,3,0,0,0
6730160,42,Male,1,Adults,4,0,trial_18,,,,,4639,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",0,0,-10,-13.33333333,-16.66666667,-16.66666667,8.164965809,7.453559925,2,1,-3.333333333,-0.711405884,-1,0,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",-16.66666667,-13.33333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,18,0.903225806,-20,0,-20,-20,4,3.5,-16.66666667,-13.33333333,2,0,-20,0
6730160,42,Male,1,Adults,4,0,trial_19,,0,,,1070,2418,,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}",100,0,3.333333333,10,16.66666667,13.33333333,9.428090416,8.164965809,3,2,6.666666667,-1.263124607,-1,-100,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",16.66666667,10,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,19,0.903225806,20,0,10,10,4,3.5,16.66666667,10,3,0,20,0
6730160,42,Male,1,Adults,4,1,trial_20,,,,,12276,,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}",50,50,0,-8.333333333,-3.333333333,3.333333333,8.164965809,8.975274679,2,3,-8.333333333,0.810308869,1,0,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}",0,3.333333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,20,0.903225806,0,0,0,10,4,3.5,3.333333333,0,3,0,0,0
6730160,42,Male,1,Adults,4,,catch_2,1,,,9213,,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}",0,0,,,,,,,,,,,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",,,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,,0.903225806,,,,,,,,,,,,
6730160,42,Male,1,Adults,4,1,trial_21,,0,0,,5584,1585,1636,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",100,50,13.33333333,6.666666667,16.66666667,13.33333333,4.714045208,9.428090416,0,1,-6.666666667,4.714045208,1,-50,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",13.33333333,13.33333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,21,0.903225806,20,10,20,20,4,3.5,13.33333333,13.33333333,1,0,10,20
6730160,42,Male,1,Adults,4,0,trial_22,,0,,,751,1492,,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,0,6.666666667,5,3.333333333,13.33333333,7.453559925,9.574271078,3,2,-1.666666667,2.120711153,-1,-50,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",3.333333333,5,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,22,0.903225806,10,10,-20,20,4,3.5,3.333333333,5,3,0,10,10
6730160,42,Male,1,Adults,4,1,trial_23,,1,1,,5076,2279,2344,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}",50,100,-8.333333333,-6.666666667,-16.66666667,-6.666666667,8.975274679,9.428090416,3,1,1.666666667,0.452815737,-2,50,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",-8.333333333,-6.666666667,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,23,0.903225806,0,0,0,0,4,3.5,-6.666666667,-8.333333333,1,0,0,0
6730160,42,Male,1,Adults,4,0,trial_24,,0,,,4707,8826,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,50,-1.666666667,5,-3.333333333,-3.333333333,6.871842709,9.574271078,3,2,6.666666667,2.702428368,-1,0,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",-3.333333333,5,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,24,0.903225806,10,0,0,-10,4,3.5,-3.333333333,5,3,0,10,0
6730160,42,Male,1,Adults,4,0,trial_25,,0,,,783,1133,,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}",100,0,8.333333333,1.666666667,3.333333333,3.333333333,8.975274679,6.871842709,3,3,-6.666666667,-2.103431969,0,-100,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",3.333333333,1.666666667,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,25,0.903225806,-20,-10,10,0,4,3.5,3.333333333,1.666666667,3,0,-20,-10
