subject_ID,age_in_years,gender,gender_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingR,RT_fishingL,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,prop_correct_fishing
3714643,24,Female,2,1,trial_16,,0,0,,2096.555,1285.84,2438.71,"{""FishSmall"":5,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,100,8.333333333,5,3.726779962,9.574271078,1,2,-3.333333333,5.847491115,1,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_17,,,,,4824.51,,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,0,1.666666667,3.333333333,6.871842709,7.453559925,3,2,1.666666667,0.581717216,-1,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_18,,1,,,6835.385,,1191.93,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}",100,0,-5,-6.666666667,7.637626158,9.428090416,1,1,-1.666666667,1.790464258,0,-100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_19,,1,,,4326.555,,796.115,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}",100,0,-3.333333333,-1.666666667,9.428090416,6.871842709,3,3,1.666666667,-2.556247706,0,-100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_20,,,,,2257.605,,,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",50,0,3.333333333,-10,9.428090416,8.164965809,0,2,-13.33333333,-1.263124607,2,-50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,,,,,catch_2,1,,,4532.55,,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
3714643,24,Female,2,1,trial_21,,,0,,5136.025,1752.055,,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",50,50,0,8.333333333,11.54700538,8.975274679,4,3,8.333333333,-2.571730705,-1,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_22,,,,,3587.105,,,"{""FishSmall"":2,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,0,13.33333333,5,7.453559925,9.574271078,1,2,-8.333333333,2.120711153,1,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_23,,0,,,1096.905,,1195.06,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",50,50,8.333333333,-10,8.975274679,8.164965809,3,2,-18.33333333,-0.810308869,-1,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_24,,1,0,,864.3200001,1595.62,2031.95,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",50,100,-10,5,5.773502692,7.637626158,1,1,15,1.864123466,0,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_25,,,1,,1826.09,1705.21,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":3,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":4,""Seaweed"":1}",0,100,-11.66666667,-15,8.975274679,7.637626158,2,1,-3.333333333,-1.33764852,-1,100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_26,,1,0,,1605.48,1500.24,2412.805,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",50,50,-1.666666667,6.666666667,6.871842709,9.428090416,3,1,8.333333333,2.556247706,-2,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_27,,,1,,1356.75,1163.415,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":3}",0,100,0,-6.666666667,8.164965809,7.453559925,2,3,-6.666666667,-0.711405884,1,100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_28,,,,,775.2950001,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}",0,0,-15,-1.666666667,5,6.871842709,0,3,13.33333333,1.871842709,3,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
